tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1651,2013-06-30 21:52:22,2013-06-30 22:19:53,326,E 11 St & 1 Ave,40.72953837,-73.98426726,505.0,6 Ave & W 33 St,40.74901271,-73.98848395,14949,Customer,,0
962,2013-06-30 21:36:34,2013-06-30 21:52:36,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,274.0,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,17746,Subscriber,1988.0,1
312,2013-06-30 21:47:39,2013-06-30 21:52:51,402,Broadway & E 22 St,40.7403432,-73.98955109,518.0,E 39 St & 2 Ave,40.74780373,-73.9734419,17512,Subscriber,1986.0,1
1614,2013-06-30 21:52:43,2013-06-30 22:19:37,499,Broadway & W 60 St,40.76915505,-73.98191841,505.0,6 Ave & W 33 St,40.74901271,-73.98848395,15612,Customer,,0
64,2013-06-30 21:52:21,2013-06-30 21:53:25,433,E 13 St & Avenue A,40.72955361,-73.98057249,490.0,8 Ave & W 33 St,40.751551,-73.993934,19351,Subscriber,1987.0,2
1421,2013-06-30 21:52:33,2013-06-30 22:16:14,412,Forsyth St & Canal St,40.7158155,-73.99422366,449.0,W 52 St & 9 Ave,40.76461837,-73.98789473,15587,Subscriber,1978.0,2
416,2013-06-30 21:52:54,2013-06-30 21:59:50,533,Broadway & W 38 St,40.75299641,-73.98721619,478.0,11 Ave & W 41 St,40.76030096,-73.99884222,15434,Subscriber,1980.0,1
215,2013-06-30 21:52:53,2013-06-30 21:56:28,461,E 20 St & 2 Ave,40.73587678,-73.98205027,325.0,E 19 St & 3 Ave,40.73624527,-73.98473765,17631,Subscriber,1961.0,2
1429,2013-06-30 21:52:58,2013-06-30 22:16:47,491,E 24 St & Park Ave S,40.74096374,-73.98602213,491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,17734,Subscriber,1982.0,1
1506,2013-06-30 21:53:04,2013-06-30 22:18:10,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,72.0,W 52 St & 11 Ave,40.76727216,-73.99392888,17616,Subscriber,1980.0,1
1768,2013-06-30 21:53:01,2013-06-30 22:22:29,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,304.0,Broadway & Battery Pl,40.70463334,-74.01361706,15343,Subscriber,1981.0,2
839,2013-06-30 21:53:16,2013-06-30 22:07:15,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,18964,Customer,,0
273,2013-06-30 21:53:19,2013-06-30 21:57:52,368,Carmine St & 6 Ave,40.73038599,-74.00214988,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,16785,Customer,,0
156,2013-06-30 21:53:24,2013-06-30 21:56:00,494,W 26 St & 8 Ave,40.74734825,-73.99723551,521.0,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,20620,Subscriber,1966.0,1
